time,acc_x,acc_y,acc_z
2173346.111,2.624,-7.159,1.907
2173346.131,2.509,-6.116,0.973
2173346.151,3.032,-5.925,-0.687
2173346.171,1.989,-8.815,0.057
2173346.191,0.481,-11.524,3.268
2173346.21,1.22,-9.863,4.235
2173346.23,3.869,-8.93,3.202
2173346.25,4.027,-10.098,1.494
2173346.27,4.012,-10.634,1.565
2173346.289,4.378,-11.777,3.486
2173346.309,5.104,-11.342,5.374
2173346.329,6.925,-10.395,4.212
2173346.349,9.053,-15.563,0.897
2173346.368,1.802,-18.693,0.546
2173346.388,-4.488,-17.841,0.171
2173346.408,-2.21,-17.798,-1.418
2173346.428,2.545,-19.325,-0.914
2173346.448,4.265,-17.315,0.741
2173346.467,3.434,-13.204,3.122
2173346.487,2.963,-10.807,2.335
2173346.507,2.516,-9.854,-0.354
2173346.527,1.503,-9.002,-1.819
2173346.546,1.026,-7.768,-2.455
2173346.566,0.878,-5.944,-2.991
2173346.586,1.022,-3.437,-2.521
2173346.606,0.719,-1.044,-1.905
2173346.625,0.128,0.368,-1.98
2173346.645,-0.53,1.612,-2.222
2173346.665,-0.689,1.449,-1.668
2173346.685,-0.717,-0.144,1.391
2173346.705,0.056,-3.446,8.173
2173346.724,1.522,-10.663,17.278
2173346.744,-1.054,-23.952,18.354
2173346.764,-0.843,-28.504,6.688
2173346.784,-1.337,-10.347,1.576
2173346.803,-4.067,1.865,0.704
2173346.823,-9.175,-2.963,9.989
2173346.843,-3.764,-22.526,0.689
2173346.863,7.572,-30.504,-2.863
2173346.882,5.63,-13.501,0.917
2173346.902,-4.711,-1.432,1.23
2173346.922,-2.996,-1.441,-7.434
2173346.942,1.531,-7.869,-4.338
2173346.961,6.197,-15.147,2.771
2173346.981,12.521,-15.898,-0.364
2173347.001,10.647,-13.625,0.367
2173347.021,1.656,-9.208,2.031
2173347.041,-2.385,-5.954,1.718
2173347.06,-3.822,-5.284,1.661
2173347.08,-0.871,-7.715,1.557
2173347.1,2.353,-9.778,2.121
2173347.12,2.194,-8.5,2.439
2173347.139,1.305,-6.37,1.581
2173347.159,1.954,-5.514,-0.013
2173347.179,2.733,-6.428,-1.08
2173347.199,3.035,-8.921,0.689
2173347.218,2.655,-9.797,2.918
2173347.238,2.944,-8.806,3.112
2173347.258,4.097,-9.385,2.126
2173347.278,5.005,-10.29,1.055
2173347.297,3.972,-11.223,1.903
2173347.317,2.439,-13.204,3.582
2173347.337,4.15,-12.994,4.18
2173347.357,9.695,-15.602,0.433
2173347.377,7.432,-18.966,-2.422
2173347.396,-2.049,-16.258,0.168
2173347.416,-4.048,-15.343,0.964
2173347.436,-1.237,-17.956,-1.127
2173347.456,1.7,-20.368,-1.876
2173347.475,2.795,-16.937,0.969
2173347.495,2.771,-12.309,3.554
2173347.515,2.828,-9.663,1.846
2173347.535,1.618,-8.835,-0.458
2173347.554,0.859,-8.055,-1.525
2173347.574,0.767,-6.643,-2.18
2173347.594,0.791,-4.581,-2.099
2173347.614,1.397,-2.394,-1.725
2173347.634,1.358,-0.791,-1.691
2173347.653,0.584,0.339,-1.81
2173347.673,-0.444,1.258,-1.658
2173347.693,-1.179,1.067,-0.648
2173347.713,-1.376,-0.441,2.567
2173347.732,-0.607,-3.394,7.143
2173347.752,0.647,-9.668,12.612
2173347.772,-0.434,-22.813,16.865
2173347.792,0.835,-28.178,11.099
2173347.811,-1.112,-11.697,4.535
2173347.831,-3.284,0.095,2.524
2173347.851,-5.095,-2.408,10.482
2173347.871,-0.189,-20.411,9.463
2173347.89,10.671,-25.924,-4.546
2173347.91,5.606,-10.213,-6.841
2173347.93,-8.574,-2.642,5.546
2173347.95,-6.959,-3.681,-4.826
2173347.97,0.244,-9.017,-7.994
2173347.989,4.914,-16.013,1.23
2173348.009,9.912,-15.946,0.632
2173348.029,9.599,-12.252,-0.022
2173348.049,3.492,-8.347,1.752
2173348.068,0.133,-5.37,2.173
2173348.088,-1.616,-4.131,1.894
2173348.108,0.647,-5.485,1.349
2173348.128,2.761,-8.002,1.524
2173348.147,1.339,-8.39,1.225
2173348.167,-0.376,-7.543,1.116
2173348.187,-0.299,-7.548,0.139
2173348.207,0.397,-9.577,0.063
2173348.227,1.387,-11.749,1.671
2173348.246,3.165,-10.859,2.382
2173348.266,4.429,-9.223,2.752
2173348.286,5.068,-10.103,1.984
2173348.306,5.607,-11.002,0.784
2173348.325,4.91,-12.989,2.472
2173348.345,6.601,-13.443,3.208
2173348.365,10.335,-15.903,0.556
2173348.385,5.587,-17.253,0.177
2173348.404,-0.655,-16.405,1.149
2173348.424,-3.033,-16.707,1.671
2173348.444,-3.745,-19.133,-1.682
2173348.464,-0.919,-21.411,-3.991
2173348.484,1.882,-17.401,-0.131
2173348.503,2.209,-12.05,3.563
