sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
153,1.494140625,-4.931441914,4.949906752,10.9464066,24.83349298,-55.18120654,26.52623756
154,1.50390625,-5.289822659,4.441132122,10.87114329,22.94799287,-41.73687964,32.79382977
155,1.513671875,-4.892677921,4.309012778,11.05150395,22.4169106,-33.42041696,37.75509244
156,1.5234375,-4.076123602,4.421972907,11.50926707,20.21177393,-30.44330845,48.42620924
157,1.533203125,-3.409875222,4.00664898,11.32642316,16.47952344,-37.20161061,61.76991696
158,1.54296875,-2.089803375,3.345826174,10.88588362,16.00141563,-52.60676305,66.77234056
159,1.552734375,-1.132221351,3.100921855,10.69208104,12.31306868,-65.83014583,72.56780795
160,1.5625,-0.262552657,3.10094063,10.49466253,2.825815331,-80.53548848,85.66925048
161,1.572265625,0.047022527,3.15882379,10.38031134,-0.489684284,-84.93029399,95.75383275
162,1.58203125,0.076520366,3.189512469,10.13905466,2.13932745,-77.13157957,89.3788642
163,1.591796875,0.291042838,2.885564421,9.698486438,9.947748389,-63.9482783,74.16609871
164,1.6015625,0.34531886,2.478679293,9.319232148,19.20626052,-52.24086919,62.04007062
165,1.611328125,0.541395632,2.332639418,9.195561137,22.45758429,-46.42465667,50.23282621
166,1.62109375,0.770299736,2.157469578,9.119782588,20.64525676,-42.36446181,40.05904853
167,1.630859375,0.689387349,2.139466614,9.122512303,18.64466871,-39.94809226,38.63834016
168,1.640625,0.678614521,2.027305139,9.195955546,18.10735095,-42.24955643,41.65030834
169,1.650390625,0.61473972,1.490603465,9.010756846,21.88136508,-51.96397574,49.77878511
170,1.66015625,0.561753894,1.64664704,8.957430137,28.12443329,-60.72674165,58.29338588
171,1.669921875,0.057987749,1.285641741,8.732280668,15.63996689,-61.53065397,56.12904775
172,1.6796875,0.403375838,1.137537288,8.698387784,11.93409948,-66.74275696,49.86135691
173,1.689453125,0.9468149,1.175433359,8.931359463,21.11341824,-68.03498858,49.71895559
174,1.69921875,0.783513438,0.933984236,8.781412178,32.06507828,-61.3258947,49.49010591
175,1.708984375,0.371086508,0.946850009,8.57090015,38.62583222,-57.17172551,47.9343579
176,1.71875,-0.033341913,1.337109754,8.464488842,45.25868314,-53.74111101,41.56476913
177,1.728515625,-0.180223602,1.558977832,8.253858946,52.59833457,-44.75030101,29.85125544
178,1.73828125,-0.138018087,1.453287054,8.098438836,57.68880754,-34.10274547,23.00533147
179,1.748046875,-0.117044457,1.429097485,8.155635909,53.43760113,-29.66218717,26.26841796
180,1.7578125,-0.308974932,1.524898033,8.322969751,44.33342323,-33.74713548,32.7464121
181,1.767578125,-0.582736363,1.712637672,8.351245858,31.38007889,-41.27353152,41.16669341
182,1.77734375,-0.630719258,2.21742814,8.520619859,17.86371508,-45.68693912,52.49426192
183,1.787109375,-0.52815941,2.387999235,8.910410534,8.853073892,-44.43046541,59.91663649
184,1.796875,-0.385725492,2.003691495,9.304179573,-2.763005637,-39.51573855,63.26691266
185,1.806640625,0.084683587,1.868161352,9.590799569,-8.987311617,-36.60424125,60.09895213
186,1.81640625,0.587315647,1.889879788,9.920817204,-9.898211617,-33.50687593,54.79984081
187,1.826171875,1.147644818,1.886954441,9.93311269,-10.26708396,-30.5349209,50.49009236
188,1.8359375,1.446619996,1.878059854,9.978365009,-10.13305619,-33.52042509,51.0355949
189,1.845703125,2.015099968,2.030310627,10.1378516,-12.05211816,-34.97414299,48.0596378
190,1.85546875,2.606667704,2.098622723,10.25221558,-20.40183379,-29.05042201,44.21266042
191,1.865234375,2.647563731,2.131521485,10.17834877,-37.55053847,-27.99939257,47.02757098
192,1.875,2.586790172,2.189720364,10.03776273,-49.85397187,-30.44391185,49.42339943
193,1.884765625,2.318309519,2.379800005,9.893835689,-54.67632526,-32.0697262,50.75011657
194,1.89453125,2.111856146,2.468622556,10.13207346,-44.66698845,-30.370945,50.9308221
195,1.904296875,2.04954501,2.553044083,10.59456083,-30.67816714,-26.2868842,46.51363616
196,1.9140625,1.972574695,2.45374703,10.61104508,-25.55547718,-20.68370488,34.96201842
197,1.923828125,1.938136237,2.217721331,10.26297544,-21.93511695,-17.58517913,26.66345829
198,1.93359375,1.793098504,2.028639304,9.725029749,-10.51314119,-21.3468756,27.69607071
199,1.943359375,1.770715837,2.112600432,9.531971124,3.091350541,-28.84200266,33.29185459
200,1.953125,2.099533212,2.012492548,9.633685369,10.6397711,-30.68305169,35.5450139
201,1.962890625,2.381910124,1.736226174,9.621700058,18.66550156,-31.35904518,37.7429882
202,1.97265625,2.475256054,1.472152968,9.33336144,23.80102059,-36.27185296,47.93087347
203,1.982421875,2.571473721,1.325091019,9.24972768,23.14239888,-43.19621223,64.12746042
204,1.9921875,2.504553672,1.323602469,9.391205581,19.81415677,-45.48355426,75.76151554
205,2.001953125,2.338340024,1.359323092,9.503410582,19.97715212,-43.73276141,81.38208528
206,2.01171875,2.597604711,1.13355803,9.438308518,22.62408069,-42.74072509,83.49653868
207,2.021484375,2.958628339,0.53607996,9.10869406,25.37144831,-36.53980481,82.91533157
208,2.03125,3.000104278,0.377822745,9.032362576,27.03181577,-28.78466943,78.44757557
